container_id,container_sku,Type,container_size,container_condition,location_name,latitude,longitude,available_date,price_usd,owner_id,zip_code,last_inspection_date,,,,,,,,
103,45HCCWBAL,Standard Container,45HC,Cargo Worthy ,Baltimore,39.28309,-76.54088,2025-05-30,1,GCE,21224,2025-05-30,,,,,,,,
104,45HCCLBAL,Standard Container,45HC,IICL,Baltimore,39.28309,-76.54088,2025-05-30,1,GCE,21224,2025-05-30,,,,,,,,
105,45HCBNBAL,Standard Container,45HC,Brand New,Baltimore,39.28309,-76.54088,2025-05-30,1,GCE,21224,2025-05-30,,,,,,,,
106,53HCASBAL,Open Top Container,53HC,AS IS ,Baltimore,39.28309,-76.54088,2025-05-30,1,GCE,21224,2025-05-30,,,,,,,,
107,53HCWWBAL,Standard Container,53HC,Wind and Water Tight,Baltimore,39.28309,-76.54088,2025-05-30,1,GCE,21224,2025-05-30,,,,,,,,
108,53HCCWBAL,Standard Container,53HC,Cargo Worthy ,Baltimore,39.28309,-76.54088,2025-05-30,1,GCE,21224,2025-05-30,,,,,,,,
109,53HCCLBAL,Standard Container,53HC,IICL,Baltimore,39.28309,-76.54088,2025-05-30,1,GCE,21224,2025-05-30,,,,,,,,
110,53HCBNBAL,Standard Container,53HC,Brand New,Baltimore,39.28309,-76.54088,2025-05-30,1,GCE,21224,2025-05-30,,,,,,,,
111,20SDASBAL,Side Door Container,20DC,AS IS ,Baltimore,39.28309,-76.54088,2025-05-30,1,GCE,21224,2025-05-30,,,,,,,,
112,20SDWWBAL,Side Door Container,20DC,Wind and Water Tight,Baltimore,39.28309,-76.54088,2025-05-30,1,GCE,21224,2025-05-30,,,,,,,,
113,20SDCWBAL,Side Door Container,20DC,Cargo Worthy ,Baltimore,39.28309,-76.54088,2025-05-30,1,GCE,21224,2025-05-30,,,,,,,,
114,20SDCLBAL,Side Door Container,20DC,IICL,Baltimore,39.28309,-76.54088,2025-05-30,1,GCE,21224,2025-05-30,,,,,,,,
115,20SDBNBAL,Side Door Container,20DC,Brand New,Baltimore,39.28309,-76.54088,2025-05-30,1,GCE,21224,2025-05-30,,,,,,,,
