container_id,container_sku,container_type,container_size,container_condition,location_name,latitude,longitude,available_date,price_usd,owner_id,zip_code,last_inspection_date,,,,location_name,
138,40HCBNCLE,40HC Brand New Container,40HC,Brand New,Cleveland,41.441676,-81.769296,2025-05-30,4300,GCE,44135,2025-05-30,,,,,
139,45HCBNCLE,45HC Brand New Container,45HC,Brand New,Cleveland,41.441676,-81.769296,2025-05-30,11000,GCE,44135,2025-05-30,,,,,
140,53HCBNCLE,53HC Brand New Container,53HC,Brand New,Cleveland,41.441676,-81.769296,2025-05-30,18500,GCE,44135,2025-05-30,,,,,
141,20SDBNCLE,20DC Brand New Side Door Container,20DC,Brand New,Cleveland,41.441676,-81.769296,2025-05-30,5200,GCE,44135,2025-05-30,,,,,
142,40HCSDBNCLE,40HC Brand New Side Door Container,40HC,Brand New,Cleveland,41.441676,-81.769296,2025-05-30,7000,GCE,44135,2025-05-30,,,,,
143,20DDBNCLE,20DC Brand New Double Door Container,20DC,Brand New,Cleveland,41.441676,-81.769296,2025-05-30,4200,GCE,44135,2025-05-30,,,,,
144,40HCDDBNCLE,40HC Brand New Double Door Container,40HC,Brand New,Cleveland,41.441676,-81.769296,2025-05-30,5200,GCE,44135,2025-05-30,,,,,
145,40HCRFASCLE,40HC AS-IS Refrigerated Container,40HC,AS IS ,Cleveland,41.441676,-81.769296,2025-05-30,4200,GCE,44135,2025-05-30,,,,,
146,40HCRFBNCLE,40HC Brand New Refrigerated Container,40HC,Brand New,Cleveland,41.441676,-81.769296,2025-05-30,25000,GCE,44135,2025-05-30,,,,,
147,20OTCWCLE,20DC Cargo Worthy Open Top Container,20DC,Cargo Worthy ,Cleveland,41.441676,-81.769296,2025-05-30,6200,GCE,44135,2025-05-30,,,,,
148,20OTBNCLE,20DC Brand New Open Top Container,20DC,Brand New,Cleveland,41.441676,-81.769296,2025-05-30,8500,GCE,44135,2025-05-30,,,,,
149,40HCOTCWCLE,40HC Cargo Worthy Open Top Container,40HC,Cargo Worthy ,Cleveland,41.441676,-81.769296,2025-05-30,8800,GCE,44135,2025-05-30,,,,,
150,40HCOTBNCLE,40HC Brand New Open Top Container,40HC,Brand New,Cleveland,41.441676,-81.769296,2025-05-30,13000,GCE,44135,2025-05-30,,,,,
151,20DCWWCOL,20DC Wind and Water Tight Container,20DC,Wind and Water Tight,Columbus,39.9215,-82.9833,2025-05-30,2000,GCE,43207,2025-05-30,,,,,
152,20DCCWCOL,20DC Cargo Worthy Container,20DC,Cargo Worthy ,Columbus,39.9215,-82.9833,2025-05-30,2200,GCE,43207,2025-05-30,,,,,
153,20DCCLCOL,20DC IICL Container,20DC,IICL,Columbus,39.9215,-82.9833,2025-05-30,2800,GCE,43207,2025-05-30,,,,,
154,20DCBNCOL,20DC Brand New Container,20DC,Brand New,Columbus,39.9215,-82.9833,2025-05-30,3300,GCE,43207,2025-05-30,,,,,
155,20HCBNCOL,20HC Brand New Container,20HC,Brand New,Columbus,39.9215,-82.9833,2025-05-30,4200,GCE,43207,2025-05-30,,,,,
156,40DCWWCOL,40DC Wind and Water Tight Container,40DC,Wind and Water Tight,Columbus,39.9215,-82.9833,2025-05-30,2200,GCE,43207,2025-05-30,,,,,
157,40DCCWCOL,40DC Cargo Worthy Container,40DC,Cargo Worthy ,Columbus,39.9215,-82.9833,2025-05-30,2300,GCE,43207,2025-05-30,,,,,
158,40DCCLCOL,40DC IICL Container,40DC,IICL,Columbus,39.9215,-82.9833,2025-05-30,3600,GCE,43207,2025-05-30,,,,,
159,40DCBNCOL,40DC Brand New Container,40DC,Brand New,Columbus,39.9215,-82.9833,2025-05-30,4400,GCE,43207,2025-05-30,,,,,
160,40HCWWCOL,40HC Wind and Water Tight Container,40HC,Wind and Water Tight,Columbus,39.9215,-82.9833,2025-05-30,2500,GCE,43207,2025-05-30,,,,,
161,40HCCWCOL,40HC Cargo Worthy Container,40HC,Cargo Worthy ,Columbus,39.9215,-82.9833,2025-05-30,2600,GCE,43207,2025-05-30,,,,,
162,40HCCLCOL,40HC IICL Container,40HC,IICL,Columbus,39.9215,-82.9833,2025-05-30,3500,GCE,43207,2025-05-30,,,,,
163,40HCBNCOL,40HC Brand New Container,40HC,Brand New,Columbus,39.9215,-82.9833,2025-05-30,4300,GCE,43207,2025-05-30,,,,,
164,45HCBNCOL,45HC Brand New Container,45HC,Brand New,Columbus,39.9215,-82.9833,2025-05-30,11000,GCE,43207,2025-05-30,,,,,
165,53HCBNCOL,53HC Brand New Container,53HC,Brand New,Columbus,39.9215,-82.9833,2025-05-30,18500,GCE,43207,2025-05-30,,,,,
