Country,City,Code,Depot Name,Address (Short),Latitude,Longitude,,
Vietnam,Ho Chi Minh,HCMI,Nam Khanh (VIET NAM) Logistics Co. Ltd,"No.85, 1A Highway, Long Binh Tan Ward, Bien Hoa",10.9276,106.8462,,
Vietnam,Ho Chi Minh,HCMJ,CIMC Logistics (Vietnam) Co. Ltd,"Street No.11, Bien Hoa 1 Industrial, Bien Hoa 76100",10.9634,106.8377,,
Finland,Helsinki,HELA,Helsingin Konttikeskus Oy,"Vuosaari Harbour, Satamakaari 27, SF-00980 Helsinki",60.2111,25.1835,,
Finland,Helsinki,HELF,Container-Depot Ltd Oy,"West Harbour Road, Port of Vuosaari, FI-00980 Helsinki",60.2111,25.1835,,
China,Hong Kong,HKGU,Container System Ltd.,"DD 124 Lot 233, Ping Ha Road, Lau Fau Shan, Yuen Long, N.T.",22.4738,113.9937,,
China,Hong Kong,HKGV,MD Int'l Container Services Ltd.,"River Trade Terminal, 201 Lung Mun Road, Tuen Mun",22.3712,113.9633,,
Japan,Hakata,HKTA,GENEQ Corporation,"IC Container Terminal No.3 VP, 1-chome Minatokashii, Fukuoka 813-0019",33.6526,130.41,,
Japan,Hakata,HKTC,Mitsubishi Logistics Corporation,"1-1, Minato Kashii, Higashi-ku, Fukuoka-shi 813-0018",33.6526,130.41,,
Sweden,Helsingborg,HLS04,Conteam Repair AB,"Naftagatan 12, S-25225 Helsingborg",56.0478,12.726,,
New Zealand,Hamilton,HLZC,"Hamilton Container Park, Container Co","7 Kohai Drive, Horotiu, Hamilton 3288",-37.7037,175.2167,,
USA,Dallas,DAL02,TSL Terminals,"1141 EAST FULGHUM ROAD, HUTCHINS, TX 75141",32.6189,-96.7017,,
USA,Dallas,DALH,ITS ConGlobal,"19560 FM156 South, Haslet TX 76052",32.9915,-97.3574,,
USA,Denver,DEN01,Complete Container Services,"6515 Delaware, Denver CO 80221",39.8126,-105.0113,,
USA,Detroit,DTTD,ITS ConGlobal,"8501 W. Fort Street, Detroit MI 48209",42.2945,-83.1342,,
USA,Houston,HOU35,Stolt-Nielsen USA Inc.,"16300 De Zavalla Road, Channelview TX 77530-4667",29.7986,-95.0907,,
USA,Houston,HOUA,ConGlobal Industries - Galena Park,"500 Mayo Shell Road, Galena Park TX 77547",29.7323,-95.2302,,
USA,Houston,HOUB,ConGlobal Industries - La Porte,"1802 Hwy 146 N., La Porte TX 77572",29.6867,-95.0195,,
Vietnam,Haiphong,HPHC,ECS Hai Phong Container Depot,"Dinh Vu Industrial Zone, Dong Hai 2 Ward, Hai An District, Haiphong",20.8664,106.7242,,
Vietnam,Haiphong,HPHD,Greating Fortune Vietnam Container JointStock,"Dinh Vu Road, Dong Hai Ward, HaiPhong City",20.8664,106.7242,,
Vietnam,Haiphong,HPHE,Vietnam Maritime Development,"242 Chua Ve Street, 308 Ngo Quyen Street, Hai Phong",20.8528,106.6983,,
China,Huangpu,HPUB,Container System (Shenzhen),"Shi Hua North Road 1301, Huangpu, Guangzhou",23.1127,113.4608,,
China,Huangpu,HPUC,"Guangzhou CIMC Container Service Co., Ltd.","No.84 Funan Road, Huangpu District, Guangzhou",23.1106,113.4612,,
China,Huangpu,HPUN06,GREATING FORTUNE (GUANGZHOU) CONTAINER,"Donghe Road, Huangpu, Guangzhou",23.1127,113.4608,,
Korea,Incheon,INCE,"SeungJin Enterprise Co., Ltd.","593, Songdo-dong, Yeonsu-gu, Incheon",37.3846,126.6423,,
Korea,Incheon,INCF,"DongWoo Logis Co., Ltd.","82-1, Hang-dong 7ga, Jung-gu, Incheon",37.4744,126.6218,,
United States,Houston,HOUN,LarSon Intermodal,"17007 Crosby Freeway, Houston TX 77049",29.8642,-95.1585,,
Chile,Iquique,IQQA,Delmar Containers S.A.,"AV. Circunvalacion N° 600, Iquique",-20.2537,-70.1272,,
Chile,Iquique,IQQST,Sitrans Iquique,"Av. Jorge Barra S/N Sitio 14, Iquique",-20.2366,-70.1367,,
